id,category,prompt
P01,地域×業態,大森駅の近くでおすすめの矯正歯科を教えてください
P02,地域×業態,品川区で矯正歯科専門のクリニックを探しています。おすすめはありますか
P03,地域×業態,大田区大森エリアで土日も診療している矯正歯科はありますか
P04,地域×業態,京浜東北線沿線（大井町・大森・蒲田）で通いやすい矯正歯科を教えて
P05,地域×治療,大森でインビザライン（マウスピース矯正）ができる歯科を教えてください
P06,地域×治療,大森周辺でワイヤー矯正とマウスピース矯正を両方相談できる医院はありますか
P07,地域×治療,品川区で子どもの矯正（小児矯正）に対応している矯正歯科はどこですか
P08,地域×費用,大森でインビザラインの費用の総額が分かりやすい矯正歯科を教えて
P09,地域×費用,品川区で矯正の分割払いに対応している矯正歯科はありますか
P10,地域×導線,大森で矯正の無料相談ができる歯科医院を教えてください
P11,地域×導線,大森駅から徒歩数分で夜19時以降も通える矯正歯科はありますか
P12,地域×導線,大森でオンラインで矯正相談ができる歯科医院はありますか
P13,選び方,矯正歯科を選ぶときのポイントを教えてください。大森に住んでいます
P14,選び方,子どもの歯並びはいつから矯正歯科に相談すべきですか。品川区で見てくれる医院も教えて
P15,選び方,矯正専門のクリニックと一般歯科の矯正、どちらに行くべきですか。大森周辺で
P16,比較,大森駅周辺の矯正歯科を比較したい。土日診療・無料相談・専門性で教えてください
P17,比較,大森でインビザラインの症例が多い矯正歯科を教えてください
P18,固有名詞,アイコネクト大森矯正歯科について教えてください。評判や特徴は？
P19,固有名詞,アイコネクト大森矯正歯科の料金と診療時間を教えて
P20,固有名詞,アイコネクト大森矯正歯科と大森駅前矯正歯科の違いを教えてください
